wave,varname,source
2009,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER46606
2011,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER51967
2013,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER57736
2015,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER64916
2017,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER71044
2019,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER77066
2021,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER81348
2001,DOLLAR AMT OF NEEDY DONATIONS,ER20059
2003,DOLLAR AMT OF NEEDY DONATIONS,ER23495
2005,DOLLAR AMT OF NEEDY DONATIONS,ER27463
2007,DOLLAR AMT OF NEEDY DONATIONS,ER40634
2009,DOLLAR AMT OF NEEDY DONATIONS,ER46612
2011,DOLLAR AMT OF NEEDY DONATIONS,ER51973
2013,DOLLAR AMT OF NEEDY DONATIONS,ER57742
2015,DOLLAR AMT OF NEEDY DONATIONS,ER64922
2017,DOLLAR AMT OF NEEDY DONATIONS,ER71046
2019,DOLLAR AMT OF NEEDY DONATIONS,ER77068
2021,DOLLAR AMT OF NEEDY DONATIONS,ER81355
2001,WTR DONATED TO ORGANIZATN FOR HEALTH,ER20064
2003,WTR DONATED TO ORGANIZATN FOR HEALTH,ER23500
2005,WTR DONATED TO ORGANIZATN FOR HEALTH,ER27468
2007,WTR DONATED TO ORGANIZATN FOR HEALTH,ER40639
2009,WTR DONATED TO ORGANIZATN FOR HEALTH,ER46617
2011,WTR DONATED TO ORGANIZATN FOR HEALTH,ER51978
2013,WTR DONATED TO ORGANIZATN FOR HEALTH,ER57747
2015,WTR DONATED TO ORGANIZATN FOR HEALTH,ER64927
2017,WTR DONATED TO ORGANIZATN FOR HEALTH,ER71047
2019,WTR DONATED TO ORGANIZATN FOR HEALTH,ER77069
2021,WTR DONATED TO ORGANIZATN FOR HEALTH,ER81361
2001,DOLLAR AMT OF HEALTH DONATIONS,ER20065
2003,DOLLAR AMT OF HEALTH DONATIONS,ER23501
2005,DOLLAR AMT OF HEALTH DONATIONS,ER27469
2007,DOLLAR AMT OF HEALTH DONATIONS,ER40640
2009,DOLLAR AMT OF HEALTH DONATIONS,ER46618
2011,DOLLAR AMT OF HEALTH DONATIONS,ER51979
2013,DOLLAR AMT OF HEALTH DONATIONS,ER57748
2015,DOLLAR AMT OF HEALTH DONATIONS,ER64928
2017,DOLLAR AMT OF HEALTH DONATIONS,ER71048
2019,DOLLAR AMT OF HEALTH DONATIONS,ER77070
2021,DOLLAR AMT OF HEALTH DONATIONS,ER81362
2001,WTR DONATED TO ORGANZTION FOR EDUCATN,ER20070
2003,WTR DONATED TO ORGANZTION FOR EDUCATN,ER23506
2005,WTR DONATED TO ORGANZTION FOR EDUCATN,ER27474
2007,WTR DONATED TO ORGANZTION FOR EDUCATN,ER40645
2009,WTR DONATED TO ORGANZTION FOR EDUCATN,ER46623
2011,WTR DONATED TO ORGANZTION FOR EDUCATN,ER51984
2013,WTR DONATED TO ORGANZTION FOR EDUCATN,ER57753
2015,WTR DONATED TO ORGANZTION FOR EDUCATN,ER64933
2017,WTR DONATED TO ORGANZTION FOR EDUCATN,ER71049
2019,WTR DONATED TO ORGANZTION FOR EDUCATN,ER77071
2021,WTR DONATED TO ORGANZTION FOR EDUCATN,ER81376
2001,DOLLAR AMT OF EDUCATION DONATIONS,ER20071
2003,DOLLAR AMT OF EDUCATION DONATIONS,ER23507
2005,DOLLAR AMT OF EDUCATION DONATIONS,ER27475
2007,DOLLAR AMT OF EDUCATION DONATIONS,ER40646
2009,DOLLAR AMT OF EDUCATION DONATIONS,ER46624
2011,DOLLAR AMT OF EDUCATION DONATIONS,ER51985
2013,DOLLAR AMT OF EDUCATION DONATIONS,ER57754
2015,DOLLAR AMT OF EDUCATION DONATIONS,ER64934
2017,DOLLAR AMT OF EDUCATION DONATIONS,ER71050
2019,DOLLAR AMT OF EDUCATION DONATIONS,ER77072
2021,DOLLAR AMT OF EDUCATION DONATIONS,ER81377
2001,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER20076
2003,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER23512
2005,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER27480
2007,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER40651
2009,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER46629
2011,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER51990
2013,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER57759
2015,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER64939
2017,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER71051
2019,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER77073
2021,WTR DONATED TO YOUTH/FAMILY ORGANZTN,ER81383
2001,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER20077
2003,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER23518
2005,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER27486
2007,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER40657
2009,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER46635
2011,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER51996
2013,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER57765
2015,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER64945
2017,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER71053
2019,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER77075
2021,WTR DONATD TO ARTS/CULTR/ETHNIC ASSN,ER81390
2001,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER20078
2003,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER23524
2005,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER27492
2007,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER40663
2009,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER46641
2011,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER52002
2013,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER57771
2015,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER64951
2017,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER71055
2019,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER77077
2021,WTR DONATD TO NEIGHBORHOOD/COMMUNITY,ER0000
2001,WTR DONATED TO ENVIRONMENTAL ORG,ER20079
2003,WTR DONATED TO ENVIRONMENTAL ORG,ER23530
2005,WTR DONATED TO ENVIRONMENTAL ORG,ER27498
2007,WTR DONATED TO ENVIRONMENTAL ORG,ER40669
2009,WTR DONATED TO ENVIRONMENTAL ORG,ER46647
2011,WTR DONATED TO ENVIRONMENTAL ORG,ER52008
2013,WTR DONATED TO ENVIRONMENTAL ORG,ER57777
2015,WTR DONATED TO ENVIRONMENTAL ORG,ER64957
2017,WTR DONATED TO ENVIRONMENTAL ORG,ER71057
2019,WTR DONATED TO ENVIRONMENTAL ORG,ER77079
2021,WTR DONATED TO ENVIRONMENTAL ORG,ER81397
2001,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER20080
2003,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER23536
2005,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER27504
2007,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER40675
2009,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER46653
2011,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER52014
2013,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER57783
2015,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER64963
2017,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER71059
2019,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER77081
2021,WTR DONATD TO INTRNAT AID/WRLD PEACE,ER81368
2001,WTR DONATED TO OTHER CHARITY,ER20081
2003,WTR DONATED TO OTHER CHARITY,ER23542
2005,WTR DONATED TO OTHER CHARITY,ER27510
2007,WTR DONATED TO OTHER CHARITY,ER40681
2009,WTR DONATED TO OTHER CHARITY,ER46659
2011,WTR DONATED TO OTHER CHARITY,ER52020
2013,WTR DONATED TO OTHER CHARITY,ER57789
2015,WTR DONATED TO OTHER CHARITY,ER64969
2017,WTR DONATED TO OTHER CHARITY,ER71061
2019,WTR DONATED TO OTHER CHARITY,ER77083
2021,WTR DONATED TO OTHER CHARITY,ER81414
